high_school,romanian_grade,county,specialisation,profile_exam_name,profile_exam_grade,optional_exam_name,optional_exam_grade,passed
" LICEUL ""RADU PETRESCU"" PRUNDU BIRGAULUI",10.0, BN, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""CANTEMIR VODA""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL, IASI",10.0, IS, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",10.0, VN, STIINTE SOCIALE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL, IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE TITEICA""",10.0, MH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL, IASI",10.0, IS, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",10.0, NT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU""",10.0, B, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""MIRCEA ELIADE"" SIGHISOARA",10.0, MS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI PASCAL,10.0,True
" LICEUL ""RADU PETRESCU"" PRUNDU BIRGAULUI",10.0, BN, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""DIMITRIE CANTEMIR"" ONESTI",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",10.0, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""CONSTANTIN SERBAN"" ALESD",10.0, BH, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""AL.I.CUZA"" CORABIA",10.0, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""AUREL LAZAR"" ORADEA",10.0, BH, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",10.0, BC, FILOLOGIE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""MOISE NICOARA"" ARAD",10.0, AR, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",10.0, NT, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL PEDAGOGIC ""MATEI BASARAB"" SLOBOZIA",10.0, IL, INVATATOR - EDUCATOARE, MATEMATICA PED,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""ANDREI MURESANU"" BISTRITA",10.0, BN, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"" PETROSANI",10.0, HD, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL TEHNIC ""IOAN CIORDAS"" BEIUS",10.0, BH, TEHNICIAN IN ACTIVITATI ECONOMICE, MATEMATICA TEHN,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",10.0, SJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 LICEUL TEORETIC INTERNATIONAL DE INFORMATICA CONSTANTA,10.0, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""NICOLAE BALCESCU"" CLUJ-NAPOCA",10.0, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",10.0, IL, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
